title,comments,age,thread
october recommendations suggestions playlists thread,20,20551.81183539232,rock
october covers thread,3,20550.578502058983,rock
rock hall fame notorious b g whitney houston soundgarden lead nominees,9,580.0785020589827,rock
pat benatar invincible,0,106.7951687256495,rock
kate bush david gilmour running hill live secret policeman third ball,0,544.7451687256495,rock
pound breakin,0,13.611835392316182,rock
themes repeated lyrics among bands,1,531.5618353923162,rock
ultima radio limber official music video,0,193.71183539231617,rock
soundgarden th july,1,1474.4951687256494,rock
songs ohia farewell transmission,0,720.9618353923163,rock
ethereal anyone,0,647.0285020589829,rock
free losers titled punk idle one sided demo,0,427.1618353923162,rock
echo bunnymen nocturnal,0,552.1451687256497,rock
candlebox far behind candlebox,1,2051.111835392316,rock
welcome sirs full album,0,1937.278502058983,rock
yuck operation know people know yuck think could share anyway,0,1751.8951687256495,rock
temple sorrow,1,1783.8618353923164,rock
black crowes jealous shake money maker,0,2052.995168725649,rock
crash test dummies mmm mmm mmm mmm god shuffled feet,0,2054.995168725649,rock
crobot motherbrain album review,0,2186.211835392316,rock
front porch step drown aware,0,2056.995168725649,rock
startisan decade array vol,0,2059.128502058983,rock
ashes denial glutton dark days hard rock ffo black label society aic older dirty grungy hard rock metal,0,2062.411835392317,rock
rush tom sawyer,6,3590.0785020589833,rock
aaron avis trust alternative rock little hip hop little cure tell think,0,2379.161835392317,rock
lost puppy caramel goodbyes full ep,0,2885.7618353923162,rock
anthrax mad house,0,3184.9451687256496,rock
weighted records,0,3358.228502058983,rock
bruce dickinson navigate seas sun,0,3177.0118353923162,rock
trooper vlad epe,0,3194.995168725649,rock
doors crystal ship,0,4347.611835392317,rock
sandveiss saboteur new full album,1,4962.311835392316,rock
divide empire visions official music video,0,4853.94516872565,rock
saint agnes brother official video,0,5220.028502058984,rock
blue stones shakin rust,4,6616.5618353923155,rock
kaleo save live fjalls rl n,0,6047.3118353923155,rock
rise knife sufferer witness,0,6362.128502058983,rock
lightning bolt bouncy house,0,5993.261835392315,rock
guns n roses dust n bones use illusion,1,6370.24516872565,rock
black label society whats mafia,0,6365.3951687256495,rock
david gilmour makes live pompeii concert film free watch online,0,6548.328502058983,rock
said original live song big toe jam,0,6041.728502058983,rock
love outfield,0,6277.728502058983,rock
dead poet society sound silence,0,6072.361835392317,rock
everclear art alexakis going solo writing political inspirations behind track debut solo album sun songs,0,6227.661835392316,rock
euphoria station prelude calling album reverie suite folksy accoustic guitar strumming melodious harmonica flute parts beautiful instrumental folk rock,1,6323.428502058983,rock
marea romance de jos etxailarena spanish,1,6544.628502058983,rock
junkbunny sedona still high school signed universal,5,7760.6451687256495,rock
tom petty room top,0,7018.5618353923155,rock
metal opera legend valley doom live,1,8119.778502058984,rock
dave navarro jane addiction discusses musicares world mental health day going cause distraction going positive reaction,0,7822.545168725649,rock
band coyotes know,0,7650.328502058983,rock
queens stone age tangled plaid,6,9126.84516872565,rock
bluepoint breathe,2,7989.778502058984,rock
frayed ends sanity metallica,1,9152.04516872565,rock
pink floyd another brick wall,3,9632.211835392316,rock
lost woods eau rouge faeton music blog,0,8210.228502058982,rock
find version heroin velvet underground,0,8630.661835392317,rock
jimi hendrix bold love,0,9218.245168725649,rock
ute root hey miho aussie rock mot rhead tarantino roger corman repo man explosions,0,8666.261835392315,rock
mot rhead rock n roll,0,8968.278502058984,rock
trash sun lofi shoegaze rock,0,8675.495168725649,rock
angels architecture blue line,0,8707.09516872565,rock
go way fleetwood mac,3,9058.861835392316,rock
ac dc let rock live river plate,0,9619.878502058982,rock
cinderella gypsy road long cold winter official music video,2,9261.84516872565,rock
icon hire theatre,0,8980.19516872565,rock
airbourne runnin wild official video,1,9133.361835392316,rock
paramore brick boring brick,8,10442.711835392316,rock
ff king beautiful servant official video,0,9359.211835392316,rock
zane inner castle new zealand death rock,0,9419.361835392316,rock
cover afternoon recoil,0,9444.028502058984,rock
shinedown monsters,2,10256.79516872565,rock
friends hate need life fuck song,0,9976.511835392315,rock
rock malesinger slowish love strippers tho,1,10238.028502058984,rock
band best back vocals opinion,2,10296.161835392315,rock
frank marino live agora theatre official trailer,1,10865.461835392316,rock
local natives wide eyes,0,10118.661835392315,rock
levitation room headspace full album,0,10538.061835392316,rock
spencer mcdavid fuse,0,10311.211835392316,rock
catbamboo backpedal,0,10535.761835392315,rock
feel post malone ozzy osbourne collaborating take want overall would mind seeing rock metal alt artists following suit,10,11811.54516872565,rock
blood republic heart fire official video,0,11310.19516872565,rock
disturbed david draiman wants sing national anthem super bowl,4,12112.395168725649,rock
people machines iron storms music video hard rock,1,10757.211835392316,rock
uva mondays skypunch,0,10869.79516872565,rock
favorite books general rock metal music artist specific,1,11672.911835392317,rock
marco benevento let slide full album,0,11273.728502058982,rock
bit uruguay,0,11363.711835392316,rock
orange island good looking need apply,0,11655.578502058985,rock
treat santana,0,11707.995168725647,rock
new vids bruce springsteen freddie mercury pete wentz watch returns wrecked radio,0,11607.561835392316,rock
best guitarist far,2,11809.878502058982,rock
redwolves rigid generation,0,12265.461835392316,rock
billy joel stranger,0,12397.828502058985,rock
boz scaggs lowdown,0,12411.028502058984,rock
fload regroup pt,0,12328.328502058985,rock
r p ginger baker,1,13430.628502058982,rock
preserve sound maze highways,0,12245.79516872565,rock
podcaster dj welcome,2,12049.728502058982,rock
darkness concrete british,0,12088.878502058982,rock
cream toad live royal albert hall rip one best ever get behind drum kit,3,13252.44516872565,rock
rip charlie baker,2,13626.59516872565,rock
glamour gate moongirl hard rock,0,12554.411835392317,rock
goldfinger ftn,0,13178.378502058982,rock
problem modern rock,8,13476.511835392317,rock
crazy horse downhill,0,13007.061835392316,rock
love song li e fe coldrain,0,13403.79516872565,rock
bad wolves killing slowly aug,0,13305.111835392318,rock
cvlt ov svn luna sky forever,1,13314.128502058982,rock
til tuesday voices carry,1,14167.078502058985,rock
cutaway far,0,13678.728502058982,rock
laylines tapestry,0,14397.728502058982,rock
reality kings rough ride,0,13959.011835392317,rock
flyleaf bury heart,1,15223.361835392318,rock
donald fagen new frontier,0,14814.111835392318,rock
laika kids days prog rock swing hybrid,0,14360.54516872565,rock
kyng breathe water,0,15069.09516872565,rock
cat stevens want sing sing,1,15687.611835392318,rock
poets fall dark disquiet official video,0,14706.19516872565,rock
alice chains bleed freak live seattle official video,3,16481.195168725648,rock
zero smashing pumpkins,0,15844.745168725647,rock
newest album lucid open feedback comments questions album reflects individual represents emotion dream like presence music credited really draw anything specific really thanks,0,15665.111835392318,rock
promise ring mineral point,0,15741.911835392317,rock
william duvall revisits first joining alice chains fighting right exist,0,16319.645168725649,rock
pass catastrophe pretty lady indie,0,15984.228502058982,rock
alter bridge dying light,1,16381.211835392316,rock
crimson witch satanic panic full album,1,16026.44516872565,rock
beatles fleetwood mac oasis elton john returning billboard album charts,0,16404.828502058983,rock
blondie flesh,2,16960.17850205898,rock
yes changes,2,17256.54516872565,rock
southern smoke stuck floors,0,16534.278502058984,rock
steve miller band fly like eagle original demo,0,16566.828502058983,rock
jesse j smith kingdoms rhythm,1,16430.978502058984,rock
van halen fools women children first,0,17116.54516872565,rock
would say golden age rock specific,5,17047.29516872565,rock
go go vacation,0,17380.89516872565,rock
breaking benjamin angels fall dark dawn official video,1,16478.67850205898,rock
lakota hope haunted,0,16598.628502058982,rock
cloud house drive debut single,0,16675.028502058984,rock
jonathan richman something mary,0,17596.328502058983,rock
belinda carlisle heaven place earth,0,17382.39516872565,rock
lou gramm midnight blue,6,17269.711835392318,rock
side b low budget romance ep,0,17080.511835392317,rock
anarchy initiative,0,17170.695168725648,rock
icehouse electric blue,0,17272.34516872565,rock
sugarcult phase,0,17322.09516872565,rock
depeche mode rush,2,18402.41183539232,rock
paul simon obvious child,1,17716.011835392317,rock
return arms ruin reputation,0,17783.828502058983,rock
god god desire,0,18083.36183539232,rock
white reaper explains ages community gave band start,0,19289.56183539232,rock
muuk seis ausente faeton music blog,1,18255.195168725648,rock
devo uncontrollable urge,1,19843.878502058986,rock
little us something real music video,1,19113.64516872565,rock
fload overlove,0,19098.31183539232,rock
edgar allan poets ubiquity rock,0,19168.36183539232,rock
think artists best consistent discographies,5,19203.711835392318,rock
led zeppelin immigrant song,6,20875.24516872565,rock
eagles life fast lane,1,20126.17850205898,rock
stone poneys ft linda ronstadt different drum,0,19847.728502058984,rock
bats mice hallway,0,19477.49516872565,rock
tell us first ever rock concert festival,10,20341.26183539232,rock
replacements bent shape,0,20185.42850205898,rock
sleater kinney dig,0,20460.878502058986,rock
silversun pickups well thought twinkles carnavas,0,20058.978502058984,rock
queen stone cold crazy,6,21522.728502058984,rock
harley poe eat shit die,0,20308.99516872565,rock
doves day soon,0,20371.11183539232,rock
zebra time ballad rock,0,20744.14516872565,rock
first aid kit well aware,0,20901.211835392318,rock
aran prog project cambrian,0,20932.26183539232,rock
anyone know chinese song beginning ataraxia team sleep,0,21579.828502058983,rock
jonny craig taking time wrong things,0,21654.04516872565,rock
europe carrie,0,21489.09516872565,rock
tom waits lie tough categorize,1,21656.76183539232,rock
prince revolution let go crazy,0,22746.961835392318,rock
budos band volcano song,0,21666.711835392318,rock
isley brothers shout,0,21556.76183539232,rock
rapture races onto track,0,21676.695168725648,rock
brian chanel opening selection mission marquee theatre,0,21748.828502058983,rock
bob welch sentimental lady,0,21807.67850205898,rock
casquetaria ao vivo na paulista live,0,22208.211835392318,rock
new band southern minnesota left unread see,1,22209.478502058984,rock
black star coming get amigo,0,22351.84516872565,rock
john clark bailey jr betray experimental rock,0,23327.14516872565,rock
hollerado juliette,0,22723.478502058984,rock
temple dog say hello heaven,2,24363.54516872565,rock
set stun ill gift infusion,0,23098.04516872565,rock
clutch electric worry,0,24055.728502058984,rock
hot piece ass reality kings porn punk,0,23567.528502058984,rock
cramps mojo man mars,0,24248.445168725648,rock
every idle hour unluckiest,0,23750.961835392318,rock
